city,pool,garage,sqft,bed,bath,price
Santa Monica,no,yes,2343,1,1,537227
Long Beach,no,no,1705,1,1,432815
Westwood,no,no,1846,3,2,495542
Westwood,yes,yes,1782,2,1,151566
Santa Monica,no,yes,2257,1,1,784151
Westwood,no,yes,2098,4,3,369506
Long Beach,no,no,1838,2,1,456937
Long Beach,yes,no,1907,4,3,503307
Long Beach,no,yes,1842,2,1,485277
Westwood,no,no,1474,2,1,650842
Westwood,yes,yes,1764,1,1,300116
Long Beach,yes,yes,2528,3,2,695905
Long Beach,no,yes,1625,3,2,367011
Westwood,no,no,2064,2,1,763959
Long Beach,no,yes,2872,5,4,689928
Long Beach,no,yes,2427,6,5,420842
Westwood,no,yes,1992,3,2,660793
Long Beach,no,yes,1775,3,2,247768
Santa Monica,no,no,1919,3,2,555847
Long Beach,no,yes,2378,5,4,535629
Long Beach,no,yes,1982,3,2,741847
Santa Monica,no,no,2235,2,1,1041573
Santa Monica,no,no,2952,8,7,1414309
Long Beach,no,yes,1472,1,1,390224
Long Beach,no,yes,2352,4,3,649987
Westwood,no,yes,1480,3,2,547824
Westwood,no,yes,2549,4,3,694426
Westwood,yes,yes,2430,1,1,754040
Long Beach,no,yes,2215,2,1,673968
Santa Monica,no,yes,3043,3,2,1128585
Westwood,no,no,1800,3,2,553543
Westwood,no,yes,1918,1,1,1004707
Santa Monica,no,no,2914,4,3,1063067
Santa Monica,no,no,1612,1,1,648935
Santa Monica,yes,no,1911,1,1,694303
Westwood,no,yes,2148,3,2,852225
Long Beach,no,no,2057,2,1,416250
Long Beach,no,yes,1533,3,2,479024
Long Beach,no,yes,1816,4,3,456686
Long Beach,no,yes,1429,3,2,288380
Long Beach,no,yes,1219,4,3,410581
Long Beach,no,yes,1450,5,4,243986
Santa Monica,yes,yes,1556,3,2,323090
Westwood,no,yes,1664,2,1,400959
Long Beach,no,yes,1769,1,1,201879
Long Beach,no,yes,1581,2,1,418728
Long Beach,no,yes,2679,3,2,818832
Santa Monica,yes,yes,2327,3,2,1048197
Westwood,yes,no,1843,3,2,558736
Long Beach,yes,no,2842,2,1,848185
Long Beach,no,yes,2266,2,1,526845
Long Beach,no,yes,2354,2,1,738934
Long Beach,no,yes,1523,4,3,568136
Santa Monica,yes,no,1975,4,3,664286
Long Beach,no,no,2179,2,1,569665
Westwood,no,no,1728,2,1,752458
Long Beach,no,no,1593,1,1,576175
Santa Monica,no,no,1584,1,1,545910
Long Beach,no,yes,1810,5,4,186091
Santa Monica,no,yes,1604,2,1,762861
Long Beach,no,yes,2218,7,6,643741
Long Beach,no,yes,2407,2,1,624114
Santa Monica,no,yes,1613,2,1,474498
Long Beach,no,yes,1414,5,4,668714
Santa Monica,no,yes,2354,2,1,791002
Santa Monica,no,yes,2217,4,3,969086
Santa Monica,no,no,2410,3,2,438229
Santa Monica,no,yes,1961,5,4,277493
Santa Monica,no,no,2681,1,1,867512
Long Beach,no,yes,1828,2,1,147924
Long Beach,no,yes,1500,3,2,112461
Westwood,no,yes,1816,4,3,191699
Long Beach,yes,yes,1797,3,2,698093
Long Beach,yes,no,1260,2,1,148651
Long Beach,no,yes,2336,5,4,323616
Westwood,yes,yes,1919,3,2,687900
Westwood,yes,yes,2397,6,5,458974
Long Beach,yes,yes,1686,3,2,451918
Westwood,yes,no,1961,3,2,768277
Santa Monica,no,no,1524,2,1,906604
Long Beach,no,yes,2016,4,3,689623
Santa Monica,no,yes,1656,2,1,180664
Long Beach,no,yes,1880,1,1,517378
Westwood,no,yes,1979,4,3,185018
Long Beach,no,yes,1328,4,3,257018
Long Beach,no,yes,1840,3,2,334859
Santa Monica,yes,yes,2063,5,4,355356
Westwood,no,no,986,2,1,462975
Long Beach,no,yes,1831,4,3,250952
Long Beach,no,yes,2596,5,4,1221581
Santa Monica,no,yes,2478,6,5,886605
Long Beach,yes,yes,2293,2,1,396460
Long Beach,no,yes,2487,3,2,738765
Long Beach,no,yes,1690,1,1,694649
Long Beach,no,yes,2988,7,6,762536
Long Beach,no,yes,1473,3,2,343888
Westwood,yes,yes,2426,3,2,553235
Westwood,yes,yes,2508,4,3,603903
Long Beach,no,yes,1727,1,1,598380
Long Beach,no,yes,1937,4,3,564894
Long Beach,no,yes,1734,1,1,548121
Long Beach,no,no,2530,2,1,786842
Long Beach,no,yes,2042,1,1,650285
Long Beach,no,no,2172,3,2,601461
Long Beach,yes,yes,2194,4,3,727161
Westwood,no,yes,1627,3,2,506370
Long Beach,no,yes,2037,6,5,385222
Long Beach,yes,yes,2250,2,1,485789
Long Beach,no,yes,1615,3,2,153364
Long Beach,no,yes,2524,3,2,365282
