"customer_id","checkout_system","device","country","gender","purchases","spent"
8968,"old","computer","ESP","F",3,2217.78
36687,"new","mobile","GBR","F",4,4304.56
42232,"new","computer","DEU","F",4,396.59
82931,"old","mobile","MEX","M",4,360.66
7010,"old","computer","USA","M",4,2597.86
83252,"new","mobile","GBR","F",4,1458.12
51631,"new","mobile","FRA","F",4,1703.34
38122,"old","computer","ESP","M",4,1910.86
29745,"old","mobile","USA","M",5,1702.61
1151,"old","computer","FRA","M",2,1937.69
42767,"old","mobile","BRA","M",3,1696.97
96025,"old","computer","GBR","M",4,1796.14
83859,"new","mobile","AUS","M",2,1922.03
98246,"new","computer","BRA","F",3,2964.31
10594,"new","mobile","USA","F",3,3098.49
57166,"new","mobile","GBR","F",3,2299.85
2946,"old","mobile","FRA","F",4,2090.87
73726,"old","computer","USA","F",4,2554.28
5739,"new","mobile","DEU","F",3,3605.86
56973,"old","computer","BRA","M",3,2582.07
47686,"new","computer","MEX","M",3,1037.59
72856,"new","mobile","BRA","F",5,2335.12
66021,"old","computer","TUR","M",4,2185.8
54014,"new","computer","USA","M",2,1858.67
56050,"new","computer","DEU","F",3,4299.7
60324,"old","computer","CAN","M",3,1795.74
98898,"new","mobile","DEU","M",3,2639.77
32827,"new","mobile","ESP","M",5,1266.98
63685,"new","computer","MEX","F",4,1930.14
59114,"new","mobile","TUR","F",4,2791.09
9644,"new","mobile","CAN","F",3,2914.25
98865,"old","mobile","TUR","F",5,1439.88
27357,"new","mobile","MEX","M",2,3026.88
58288,"old","computer","AUS","M",4,329.93
38860,"new","mobile","BRA","F",3,1126.01
73663,"new","computer","USA","F",3,3034.23
16742,"old","mobile","USA","F",3,3603.64
7573,"new","mobile","USA","F",3,1687.74
83227,"old","computer","MEX","F",3,1470.78
60901,"new","computer","MEX","M",4,2005.87
66188,"old","mobile","BRA","M",3,634.15
5276,"new","computer","BRA","F",4,534.22
20703,"old","computer","USA","M",1,1775.33
83048,"old","mobile","DEU","F",4,3214.92
73310,"old","computer","BRA","F",5,3727.98
20277,"new","computer","BRA","M",2,2768.38
18037,"new","mobile","TUR","F",2,1138.76
32206,"new","mobile","USA","F",3,287.32
39880,"old","computer","USA","M",4,969.1
49689,"old","computer","GBR","M",4,1389.49
63419,"new","mobile","BRA","M",5,873.95
96703,"new","computer","USA","M",3,1837.44
63186,"old","mobile","MEX","M",4,2254.09
6368,"old","mobile","MEX","F",5,848.84
84382,"old","computer","BRA","F",2,1286.93
36802,"new","computer","GBR","M",4,3855.35
56591,"old","computer","TUR","M",4,1565.9
15094,"old","mobile","USA","M",4,3065.14
19151,"old","mobile","BRA","M",3,1131.02
4595,"new","mobile","BRA","F",5,1252.03
99305,"old","computer","TUR","F",4,2891.83
74613,"new","computer","USA","F",3,3235.01
71617,"new","mobile","USA","M",4,2447.6
71124,"old","mobile","MEX","F",1,831.3
33552,"new","mobile","USA","F",5,1307.73
56434,"old","computer","MEX","M",2,2987.53
55502,"new","mobile","USA","F",2,3663.69
4299,"old","computer","GBR","M",2,443.55
77409,"new","mobile","MEX","M",3,1564.41
83675,"new","mobile","FRA","F",5,2733.02
2023,"old","computer","BRA","M",5,2981.92
56359,"new","computer","BRA","M",3,1292.65
83941,"old","mobile","USA","F",3,1851.1
73573,"old","computer","TUR","M",3,622.51
93818,"old","mobile","MEX","F",4,2551.17
84478,"old","computer","USA","M",3,3345.02
74174,"new","computer","ESP","M",4,915.84
92923,"old","computer","BRA","F",4,1181.99
72055,"old","computer","BRA","F",4,2777.9
82907,"old","computer","GBR","F",3,1054.2
41502,"old","computer","ESP","M",4,3128.5
3156,"old","computer","MEX","F",4,673.09
24602,"new","mobile","BRA","M",4,1742.04
18116,"old","computer","MEX","M",3,310.18
5112,"new","mobile","AUS","M",3,1498.15
95530,"new","computer","GBR","M",4,1630.45
55358,"new","mobile","ESP","M",4,711.02
59634,"old","mobile","BRA","M",4,1852.82
59320,"old","computer","USA","F",3,291.77
60909,"new","computer","MEX","F",4,2400.65
30171,"old","computer","BRA","F",3,2097.98
48702,"old","mobile","USA","M",4,828.71
13783,"new","mobile","MEX","M",5,467.17
5705,"new","computer","USA","F",6,2660.8
99711,"old","computer","GBR","F",3,289.97
1688,"new","mobile","USA","F",2,1308.57
4920,"old","computer","USA","M",4,3304.68
81319,"old","computer","TUR","M",4,1624
47269,"old","mobile","BRA","F",5,3338.43
48103,"new","mobile","MEX","F",3,1062.43
63059,"old","computer","BRA","F",4,627.65
25449,"old","computer","DEU","F",4,652.02
52332,"new","computer","USA","F",3,905.05
95917,"new","computer","BRA","F",3,2275.84
95467,"new","computer","USA","M",4,2358
74343,"new","computer","USA","F",4,3029.35
49544,"new","computer","MEX","M",2,2486.77
269,"new","mobile","DEU","M",3,2237.16
63927,"old","mobile","USA","M",4,5427.72
78217,"old","mobile","USA","F",4,1735.65
60671,"new","computer","FRA","M",4,138.33
13622,"new","computer","USA","M",3,4417.8
7972,"old","mobile","MEX","M",5,2785
12893,"new","mobile","USA","M",3,2477.5
16079,"old","computer","DEU","M",4,4256.92
11153,"new","mobile","BRA","F",3,3186.94
22647,"old","computer","MEX","F",4,3223.73
77582,"old","computer","CAN","F",3,2621.88
63492,"old","computer","BRA","M",5,1376.24
8495,"new","mobile","MEX","F",2,1277.19
53825,"old","mobile","DEU","F",3,856.98
25195,"old","computer","USA","M",4,247.84
60325,"new","computer","TUR","F",3,2365.36
44440,"old","computer","TUR","M",3,1624.49
9995,"old","computer","TUR","F",3,1992.87
43976,"old","computer","BRA","M",4,5038.94
61716,"old","mobile","TUR","F",4,136.89
70252,"old","mobile","DEU","F",3,1732.81
77856,"old","computer","CAN","F",3,1859.81
41101,"new","computer","TUR","M",4,2137.99
20230,"new","mobile","USA","M",4,82.57
65774,"old","mobile","CAN","M",4,899.98
49819,"old","mobile","TUR","M",3,450.12
48888,"new","computer","USA","M",3,2194.49
10114,"new","mobile","DEU","M",3,1786.16
1907,"new","computer","TUR","M",3,1707.58
97918,"new","computer","USA","F",3,1120.36
31010,"new","computer","BRA","M",3,5691.05
9353,"old","mobile","BRA","F",5,4577.09
96321,"new","mobile","BRA","M",1,1488.68
74927,"old","computer","BRA","F",4,2347.12
96576,"old","computer","BRA","F",5,2408.06
32480,"old","computer","TUR","M",4,1777.42
94929,"new","computer","DEU","F",2,2103.86
